CUSTOMER_ID,CUSTOMER_GROUP,CUSTOMER_SEGMENT
137188001.4286,RETAIL,Tier 6
73639287.1429,RETAIL,Tier 6
61902287.1429,RETAIL,Tier 6
63330858.5714,RETAIL,Tier 6
37616572.8571,RETAIL,Tier 6
51902287.1429,RETAIL,Tier 6
34902287.1429,RETAIL,Tier 6
105045144.2857,RETAIL,Tier 6
23459572.8571,RETAIL,Tier 6
40602430.0,RETAIL,Tier 6
83602430.0,RETAIL,Tier 6
24031001.4286,RETAIL,Tier 6
35602430.0,RETAIL,Tier 6
6045287.1429,RETAIL,Tier 6
77482287.1429,RETAIL,Tier 6
121902430.0,RETAIL,Tier 6
57759572.8571,RETAIL,Tier 6
137902430.0,RETAIL,Tier 6
121910858.5714,RETAIL,Tier 6
121045287.1429,RETAIL,Tier 6
69616715.7143,RETAIL,Tier 6
46902430.0,RETAIL,Tier 6
625144.2857,RETAIL,Tier 6
46482430.0,RETAIL,Tier 6
107174001.4286,RETAIL,Tier 6
137174001.4286,RETAIL,Tier 6
106625287.1429,RETAIL,Tier 6
52339572.8571,RETAIL,Tier 6
117316858.5714,RETAIL,Tier 6
121196715.7143,RETAIL,Tier 6
129039715.7143,RETAIL,Tier 6
81295572.8571,RETAIL,Tier 6
112107158.5714,RETAIL,Tier 6
56236428.5714,RETAIL,Tier 6
5080142.8571,RETAIL,Tier 1
114737857.1429,RETAIL,Tier 6
8895000.0,RETAIL,Tier 1
20366428.5714,RETAIL,Tier 1
99680714.2857,RETAIL,Tier 6
17109285.7143,RETAIL,Tier 6
86296428.5714,RETAIL,Tier 6
739285.7143,RETAIL,Tier 5
53325000.0,RETAIL,Tier 6
41274857.1429,RETAIL,Tier 6
6625000.0,RETAIL,Tier 1
35353571.4286,RETAIL,Tier 5
2953571.4286,RETAIL,Tier 6
101626428.5714,RETAIL,Tier 6
86769285.7143,RETAIL,Tier 6
53683571.4286,RETAIL,Tier 5
115412142.8571,RETAIL,Tier 6
123170714.2857,RETAIL,Tier 5
45313571.4286,RETAIL,Tier 6
67899285.7143,RETAIL,Tier 6
30357857.1429,RETAIL,Tier 5
121056428.5714,RETAIL,Tier 1
82485000.0,RETAIL,Tier 6
109513571.4286,RETAIL,Tier 6
103427857.1429,RETAIL,Tier 6
40715142.8571,RETAIL,Tier 1
28872285.7143,RETAIL,Tier 1
106158000.0,RETAIL,Tier 1
108743714.2857,RETAIL,Tier 1
128701571.4286,RETAIL,Tier 6
140645142.8571,RETAIL,Tier 5
659428.5714,RETAIL,Tier 1
63673714.2857,RETAIL,Tier 1
78273714.2857,RETAIL,Tier 6
16289428.5714,RETAIL,Tier 6
132875142.8571,RETAIL,Tier 5
40303714.2857,RETAIL,Tier 6
113075142.8571,RETAIL,Tier 1
16518000.0,RETAIL,Tier 1
76846571.4286,RETAIL,Tier 6
64433714.2857,RETAIL,Tier 6
6290857.1429,RETAIL,Tier 5
107876571.4286,RETAIL,Tier 6
87640142.8571,RETAIL,Tier 6
85919428.5714,RETAIL,Tier 1
80819428.5714,RETAIL,Tier 1
132405142.8571,RETAIL,Tier 5
80276571.4286,RETAIL,Tier 6
114848000.0,RETAIL,Tier 6
133292285.7143,RETAIL,Tier 5
66606571.4286,RETAIL,Tier 5
44335142.8571,RETAIL,Tier 6
12478000.0,RETAIL,Tier 6
120135142.8571,RETAIL,Tier 6
21992285.7143,RETAIL,Tier 6
141322285.7143,RETAIL,Tier 1
132050857.1429,RETAIL,Tier 6
125290142.8571,RETAIL,Tier 5
52065142.8571,RETAIL,Tier 6
130779428.5714,RETAIL,Tier 6
55957428.5714,RETAIL,Tier 1
92779428.5714,RETAIL,Tier 6
12222285.7143,RETAIL,Tier 6
8093714.2857,RETAIL,Tier 6
98693714.2857,RETAIL,Tier 6
89979428.5714,RETAIL,Tier 6
125850857.1429,RETAIL,Tier 6
80708000.0,RETAIL,Tier 1
63309428.5714,RETAIL,Tier 6
93738000.0,RETAIL,Tier 1
30038000.0,RETAIL,Tier 6
84038000.0,RETAIL,Tier 6
101480857.1429,RETAIL,Tier 6
75766571.4286,RETAIL,Tier 6
104338000.0,RETAIL,Tier 6
16652285.7143,RETAIL,Tier 6
115652285.7143,RETAIL,Tier 5
82952285.7143,RETAIL,Tier 6
15868000.0,RETAIL,Tier 1
94453714.2857,RETAIL,Tier 6
140453714.2857,RETAIL,Tier 6
47468000.0,RETAIL,Tier 5
753714.2857,RETAIL,Tier 6
138339428.5714,RETAIL,Tier 6
70353714.2857,RETAIL,Tier 6
65210857.1429,RETAIL,Tier 1
32841714.2857,RETAIL,Tier 6
19082285.7143,RETAIL,Tier 6
118510857.1429,RETAIL,Tier 5
45525142.8571,RETAIL,Tier 6
73110857.1429,RETAIL,Tier 1
92014428.5714,RETAIL,Tier 1
73123142.8571,RETAIL,Tier 6
10125142.8571,RETAIL,Tier 6
70410857.1429,RETAIL,Tier 1
108853714.2857,RETAIL,Tier 6
35139428.5714,RETAIL,Tier 5
86726571.4286,RETAIL,Tier 6
87169428.5714,RETAIL,Tier 6
106312285.7143,RETAIL,Tier 1
51326571.4286,RETAIL,Tier 1
121626571.4286,RETAIL,Tier 6
127626571.4286,RETAIL,Tier 6
24498000.0,RETAIL,Tier 6
43212285.7143,RETAIL,Tier 5
42212285.7143,RETAIL,Tier 6
133783714.2857,RETAIL,Tier 6
73926571.4286,RETAIL,Tier 1
118655142.8571,RETAIL,Tier 6
112940857.1429,RETAIL,Tier 5
63226571.4286,RETAIL,Tier 1
88639000.0,RETAIL,Tier 6
19940857.1429,RETAIL,Tier 1
119383714.2857,RETAIL,Tier 5
140955142.8571,RETAIL,Tier 5
33398000.0,RETAIL,Tier 5
40969428.5714,RETAIL,Tier 5
1255142.8571,RETAIL,Tier 5
27983714.2857,RETAIL,Tier 1
126569428.5714,RETAIL,Tier 6
124470857.1429,RETAIL,Tier 1
127756571.4286,RETAIL,Tier 6
100056571.4286,RETAIL,Tier 5
25485142.8571,RETAIL,Tier 6
142770857.1429,RETAIL,Tier 5
105459000.0,RETAIL,Tier 1
57642285.7143,RETAIL,Tier 5
9656571.4286,RETAIL,Tier 6
28828000.0,RETAIL,Tier 1
14685142.8571,RETAIL,Tier 6
126699428.5714,RETAIL,Tier 5
131570857.1429,RETAIL,Tier 1
67713714.2857,RETAIL,Tier 6
87999428.5714,RETAIL,Tier 1
46856571.4286,RETAIL,Tier 5
135570857.1429,RETAIL,Tier 5
130001000.0,RETAIL,Tier 6
75015285.7143,RETAIL,Tier 6
16586714.2857,RETAIL,Tier 1
25158142.8571,RETAIL,Tier 6
56029571.4286,RETAIL,Tier 1
7601000.0,RETAIL,Tier 6
126172428.5714,RETAIL,Tier 5
108172428.5714,RETAIL,Tier 6
87615285.7143,RETAIL,Tier 1
36186714.2857,RETAIL,Tier 1
2615285.7143,RETAIL,Tier 1
20058142.8571,RETAIL,Tier 1
22735857.1429,RETAIL,Tier 5
82215285.7143,RETAIL,Tier 1
32786714.2857,RETAIL,Tier 1
11515285.7143,RETAIL,Tier 6
56658142.8571,RETAIL,Tier 5
119658142.8571,RETAIL,Tier 6
110958142.8571,RETAIL,Tier 1
26701000.0,RETAIL,Tier 1
28716714.2857,RETAIL,Tier 5
9288142.8571,RETAIL,Tier 6
102716714.2857,RETAIL,Tier 6
55588142.8571,RETAIL,Tier 6
115316714.2857,RETAIL,Tier 6
53473857.1429,RETAIL,Tier 1
26331000.0,RETAIL,Tier 1
2188142.8571,RETAIL,Tier 1
79473857.1429,RETAIL,Tier 5
138773857.1429,RETAIL,Tier 5
730714.2857,RETAIL,Tier 6
15088142.8571,RETAIL,Tier 6
35659571.4286,RETAIL,Tier 1
57673857.1429,RETAIL,Tier 6
119245285.7143,RETAIL,Tier 1
113402428.5714,RETAIL,Tier 6
123131000.0,RETAIL,Tier 5
122592142.8571,RETAIL,Tier 5
45146714.2857,RETAIL,Tier 1
121003857.1429,RETAIL,Tier 1
9161000.0,RETAIL,Tier 1
59446714.2857,RETAIL,Tier 1
42746714.2857,RETAIL,Tier 6
18618142.8571,RETAIL,Tier 1
98761000.0,RETAIL,Tier 1
130475285.7143,RETAIL,Tier 5
105918142.8571,RETAIL,Tier 1
131564714.2857,RETAIL,Tier 6
140361000.0,RETAIL,Tier 1
101218142.8571,RETAIL,Tier 5
59932428.5714,RETAIL,Tier 6
19932428.5714,RETAIL,Tier 1
24803857.1429,RETAIL,Tier 6
116246714.2857,RETAIL,Tier 6
7675285.7143,RETAIL,Tier 6
80403857.1429,RETAIL,Tier 6
35118142.8571,RETAIL,Tier 1
117118142.8571,RETAIL,Tier 5
98989571.4286,RETAIL,Tier 6
63703857.1429,RETAIL,Tier 5
36248571.4286,RETAIL,Tier 1
31576714.2857,RETAIL,Tier 1
102019571.4286,RETAIL,Tier 6
75162428.5714,RETAIL,Tier 5
141305285.7143,RETAIL,Tier 1
88605285.7143,RETAIL,Tier 5
25671857.1429,RETAIL,Tier 6
21762428.5714,RETAIL,Tier 6
24762428.5714,RETAIL,Tier 6
93062428.5714,RETAIL,Tier 6
52091000.0,RETAIL,Tier 6
32962428.5714,RETAIL,Tier 6
17676714.2857,RETAIL,Tier 6
92248142.8571,RETAIL,Tier 6
39533857.1429,RETAIL,Tier 6
84691000.0,RETAIL,Tier 1
86833857.1429,RETAIL,Tier 5
44119571.4286,RETAIL,Tier 1
43292428.5714,RETAIL,Tier 6
119292428.5714,RETAIL,Tier 5
125035285.7143,RETAIL,Tier 5
59053000.0,RETAIL,Tier 5
63392428.5714,RETAIL,Tier 6
43406714.2857,RETAIL,Tier 1
104835285.7143,RETAIL,Tier 5
110563857.1429,RETAIL,Tier 5
39849571.4286,RETAIL,Tier 6
21579571.4286,RETAIL,Tier 1
38865285.7143,RETAIL,Tier 6
97722428.5714,RETAIL,Tier 1
124308142.8571,RETAIL,Tier 6
48879571.4286,RETAIL,Tier 1
104736714.2857,RETAIL,Tier 6
135022428.5714,RETAIL,Tier 6
90322428.5714,RETAIL,Tier 6
122704285.7143,RETAIL,Tier 6
30351000.0,RETAIL,Tier 5
12065285.7143,RETAIL,Tier 6
71065285.7143,RETAIL,Tier 5
114793857.1429,RETAIL,Tier 1
131093857.1429,RETAIL,Tier 6
112522428.5714,RETAIL,Tier 5
69808142.8571,RETAIL,Tier 6
121679571.4286,RETAIL,Tier 1
25551000.0,RETAIL,Tier 5
20136714.2857,RETAIL,Tier 6
54565285.7143,RETAIL,Tier 5
14438142.8571,RETAIL,Tier 6
10723857.1429,RETAIL,Tier 6
65881000.0,RETAIL,Tier 6
65909571.4286,RETAIL,Tier 1
72052428.5714,RETAIL,Tier 6
55623857.1429,RETAIL,Tier 1
66352428.5714,RETAIL,Tier 6
3809571.4286,RETAIL,Tier 5
24685714.2857,RETAIL,Tier 1
130266714.2857,RETAIL,Tier 1
115123857.1429,RETAIL,Tier 6
38552428.5714,RETAIL,Tier 6
86582428.5714,RETAIL,Tier 6
38439571.4286,RETAIL,Tier 6
49168142.8571,RETAIL,Tier 5
126131428.5714,RETAIL,Tier 5
65753857.1429,RETAIL,Tier 1
127468142.8571,RETAIL,Tier 6
110254857.1429,RETAIL,Tier 1
97768142.8571,RETAIL,Tier 6
71053857.1429,RETAIL,Tier 1
92925285.7143,RETAIL,Tier 5
69925285.7143,RETAIL,Tier 6
70403000.0,RETAIL,Tier 6
131525285.7143,RETAIL,Tier 5
128811000.0,RETAIL,Tier 5
80396714.2857,RETAIL,Tier 1
74968142.8571,RETAIL,Tier 1
65982428.5714,RETAIL,Tier 6
7469571.4286,RETAIL,Tier 6
42183857.1429,RETAIL,Tier 1
91641000.0,RETAIL,Tier 6
78498142.8571,RETAIL,Tier 6
29369571.4286,RETAIL,Tier 6
113798142.8571,RETAIL,Tier 6
99812428.5714,RETAIL,Tier 6
46171000.0,RETAIL,Tier 1
123456714.2857,RETAIL,Tier 6
104613857.1429,RETAIL,Tier 1
27901428.5714,RETAIL,Tier 5
80704285.7143,RETAIL,Tier 6
76471000.0,RETAIL,Tier 1
59774428.5714,RETAIL,Tier 5
100619285.7143,RETAIL,Tier 1
119199571.4286,RETAIL,Tier 5
136771000.0,RETAIL,Tier 5
97213857.1429,RETAIL,Tier 6
12928142.8571,RETAIL,Tier 5
12894714.2857,RETAIL,Tier 1
93330000.0,RETAIL,Tier 6
47942428.5714,RETAIL,Tier 5
139656714.2857,RETAIL,Tier 1
11528142.8571,RETAIL,Tier 1
140242428.5714,RETAIL,Tier 1
90758571.4286,RETAIL,Tier 1
105099571.4286,RETAIL,Tier 5
79671000.0,RETAIL,Tier 6
125828142.8571,RETAIL,Tier 1
23399571.4286,RETAIL,Tier 5
93710142.8571,RETAIL,Tier 1
91256714.2857,RETAIL,Tier 5
12128142.8571,RETAIL,Tier 6
10162857.1429,RETAIL,Tier 6
4345714.2857,RETAIL,Tier 5
81815714.2857,RETAIL,Tier 1
7713857.1429,RETAIL,Tier 5
16428142.8571,RETAIL,Tier 1
82713857.1429,RETAIL,Tier 1
28001142.8571,RETAIL,Tier 6
122015428.5714,RETAIL,Tier 5
73060000.0,RETAIL,Tier 6
6315428.5714,RETAIL,Tier 6
23458285.7143,RETAIL,Tier 5
78344000.0,RETAIL,Tier 1
81929714.2857,RETAIL,Tier 1
57902857.1429,RETAIL,Tier 5
15544285.7143,RETAIL,Tier 1
58658285.7143,RETAIL,Tier 6
115631428.5714,RETAIL,Tier 6
114529714.2857,RETAIL,Tier 5
1576428.5714,RETAIL,Tier 1
19244000.0,RETAIL,Tier 6
34958285.7143,RETAIL,Tier 1
91686857.1429,RETAIL,Tier 5
93401142.8571,RETAIL,Tier 1
137272571.4286,RETAIL,Tier 5
29044285.7143,RETAIL,Tier 5
34701142.8571,RETAIL,Tier 5
101859714.2857,RETAIL,Tier 1
89574000.0,RETAIL,Tier 5
137302571.4286,RETAIL,Tier 6
55401428.5714,RETAIL,Tier 1
132244285.7143,RETAIL,Tier 1
10459714.2857,RETAIL,Tier 5
41358571.4286,RETAIL,Tier 1
107574285.7143,RETAIL,Tier 5
53745428.5714,RETAIL,Tier 1
70616857.1429,RETAIL,Tier 1
55331142.8571,RETAIL,Tier 1
124345428.5714,RETAIL,Tier 1
