,CUSTOMER_ID,TRANSACTION_TYPE,QUARTER,TRANSACTION_AMOUNT
0,5658.5714,PHYSICAL,Q4 2023,1004.22
1,10631.4286,PHYSICAL,Q1 2024,114.71
2,11115.7143,PHYSICAL,Q1 2024,411.84
3,19258.5714,PHYSICAL,Q1 2024,419.28
4,19258.5714,PHYSICAL,Q4 2023,928.24
5,35442.8571,ONLINE,Q1 2024,136146.47
6,35442.8571,ONLINE,Q4 2023,30176.87
7,35442.8571,PHYSICAL,Q1 2024,41541.25
8,35442.8571,PHYSICAL,Q4 2023,10092.32
9,61930.0,ONLINE,Q1 2024,1460.82
10,66858.5714,PHYSICAL,Q1 2024,8930.47
11,66858.5714,PHYSICAL,Q4 2023,4179.5599999999995
12,69774.2857,PHYSICAL,Q1 2024,12999.8
13,69774.2857,PHYSICAL,Q4 2023,4495.23
14,79415.7143,ONLINE,Q1 2024,42382.799999999996
15,79415.7143,ONLINE,Q4 2023,28095.420000000002
16,79415.7143,PHYSICAL,Q1 2024,96117.74
17,79415.7143,PHYSICAL,Q4 2023,107159.09999999999
18,81287.1429,ONLINE,Q1 2024,1197.6
19,81287.1429,ONLINE,Q4 2023,3649.55
20,81287.1429,PHYSICAL,Q1 2024,1873.04
21,81287.1429,PHYSICAL,Q4 2023,5827.8099999999995
22,87202.8571,PHYSICAL,Q1 2024,29924.18
23,87787.1429,PHYSICAL,Q1 2024,2088.84
24,87787.1429,PHYSICAL,Q4 2023,8825.71
25,88985.7143,ONLINE,Q1 2024,12.239999999999998
26,88985.7143,ONLINE,Q4 2023,14.73
27,88985.7143,PHYSICAL,Q1 2024,43.04
28,88985.7143,PHYSICAL,Q4 2023,479.9
29,90660.0,ONLINE,Q1 2024,978.98
30,90660.0,ONLINE,Q4 2023,5393.27
31,90660.0,PHYSICAL,Q1 2024,10936.52
32,90660.0,PHYSICAL,Q4 2023,158.35
33,91574.2857,PHYSICAL,Q1 2024,794.77
34,91574.2857,PHYSICAL,Q4 2023,1426.72
35,112317.1429,PHYSICAL,Q1 2024,1653.51
36,118660.0,PHYSICAL,Q1 2024,1196.8600000000001
37,118660.0,PHYSICAL,Q4 2023,11425.67
38,118701.4286,PHYSICAL,Q1 2024,10674.84
39,118701.4286,PHYSICAL,Q4 2023,6136.65
40,129014.2857,PHYSICAL,Q1 2024,3198.88
41,129115.7143,PHYSICAL,Q1 2024,8055.17
42,129115.7143,PHYSICAL,Q4 2023,2650.04
43,132972.8571,PHYSICAL,Q1 2024,3381.06
44,143160.0,PHYSICAL,Q1 2024,8283.66
45,143160.0,PHYSICAL,Q4 2023,17469.41
46,165344.2857,ONLINE,Q1 2024,10627.51
47,165344.2857,ONLINE,Q4 2023,11726.25
48,165344.2857,PHYSICAL,Q1 2024,13106.11
49,166202.8571,PHYSICAL,Q1 2024,22019.46
50,166202.8571,PHYSICAL,Q4 2023,20054.620000000003
51,183174.2857,ONLINE,Q1 2024,426.38
52,183174.2857,PHYSICAL,Q1 2024,118.42
53,187930.0,ONLINE,Q1 2024,1019.58
54,187930.0,ONLINE,Q4 2023,28845.93
55,200501.4286,PHYSICAL,Q1 2024,95.48
56,200501.4286,PHYSICAL,Q4 2023,538.27
