,CUSTOMER_ID,LOAN_AMOUNT,LOAN_BEHAVIOR,LOAN_START_DATE
0,10015715.7143,1000001.67,Amortization Past Due,2010-11-26
1,12425058.5714,699300.74,Items for litigation,2013-09-19
2,14045201.4286,1463999.8,Current,2013-10-03
3,94215644.2857,3779999.85,Current,2014-10-13
4,86244215.7143,1080000.92,Current,2014-12-19
5,18920101.4286,1150001.16,Amortization Past Due,2015-09-03
6,142301100.0,2291997.38,Current,2015-09-04
7,7066157.1429,557598.67,Items for litigation,2015-09-15
8,16594914.2857,3424000.46,Current,2015-09-18
9,94837601.4286,1380000.1,Amortization Past Due,2015-12-28
10,128306828.5714,3312001.05,Current,2016-03-11
11,88072357.1429,1155001.62,Principal Past Due,2016-04-04
12,90882030.0,604898.5,Current,2016-05-16
13,90882030.0,4233099.72,Current,2016-05-16
14,140169958.5714,438401.19,Items for litigation,2016-08-04
15,67734544.2857,2630000.86,Current,2016-08-24
16,14203014.2857,1173899.58,Current,2016-08-30
17,138760258.5714,413999.75,Items for litigation,2016-12-16
18,9634057.1429,2485080.94,Current,2017-07-28
19,9634057.1429,7014919.23,Current,2017-07-28
20,88617572.8571,1696000.21,Amortization Past Due,2017-11-24
21,135048815.7143,5849001.41,Amortization Past Due,2017-11-29
22,118495272.8571,1663798.51,Current,2017-12-21
23,43952914.2857,14999998.52,Current,2014-06-30
24,58276144.2857,2900000.99,Current,2018-02-23
25,4912558.5714,719599.12,Current,2018-03-21
26,47519730.0,1073999.63,Current,2015-12-22
27,47519730.0,1408498.47,Current,2016-04-01
28,47519730.0,1079999.65,Current,2016-06-28
29,47519730.0,1437500.64,Current,2016-09-01
30,9936414.2857,1066400.69,Current,2018-08-08
31,33786642.8571,1568800.76,Current,2018-09-14
32,107355328.5714,3368218.57,Current,2018-10-08
33,47519730.0,922999.57,Current,2018-10-31
34,10400944.2857,1849999.31,Current,2018-11-09
35,72794558.5714,1107549.87,Current,2018-11-14
36,113121715.7143,828101.14,Current,2018-11-19
37,64310587.1429,1204000.33,Current,2018-11-27
38,110141771.4286,1440815.86,Current,2018-12-10
39,22300901.4286,2903390.18,Current,2019-01-11
40,29232874.2857,580000.97,Current,2019-01-18
41,56319572.8571,1317600.01,Current,2019-01-30
42,107622444.2857,1472200.59,Current,2019-02-19
43,20721658.5714,835999.61,Amortization Past Due,2019-02-28
44,66534757.1429,4000000.04,Current,2019-03-19
45,99372872.8571,1263999.67,Current,2019-03-29
46,62151757.1429,1149600.81,Current,2019-04-26
47,19099544.2857,1389600.05,Current,2019-06-17
48,28665228.5714,4351758.68,Current,2019-06-28
49,73537972.8571,2719998.92,Current,2019-07-26
50,102869785.7143,1562204.62,Current,2019-07-30
51,38264045.7143,1758578.15,Current,2019-08-16
52,120894058.5714,553501.81,Amortization Past Due,2019-09-04
53,58657071.4286,450000.55,Current,2019-09-12
54,32685445.7143,3499999.46,Current,2019-10-23
55,107355328.5714,1638000.93,Current,2019-10-29
56,78982588.5714,735201.2,Current,2019-10-30
57,4372888.5714,1051900.02,Current,2019-11-21
58,110630115.7143,936601.02,Current,2019-11-22
59,66984301.4286,1242698.82,Current,2019-11-28
60,84167174.2857,1860001.76,Current,2019-12-12
61,115354172.8571,1999999.23,Current,2019-12-13
62,70551658.5714,732800.26,Current,2019-12-27
63,134343031.4286,875998.51,Amortization Past Due,2019-12-27
64,82191602.8571,1191683.46,Current,2020-01-15
65,36590771.4286,1300000.68,Principal Past Due,2020-01-15
66,64759828.5714,672797.61,Current,2020-01-16
67,33284058.5714,904999.99,Current,2020-01-28
68,52175842.8571,2174999.45,Current,2020-01-31
69,46562830.0,1348800.47,Current,2020-02-06
70,142357460.0,453598.47,Current,2020-02-06
71,27940257.1429,830401.92,Current,2020-02-10
72,135144745.7143,847199.85,Current,2020-03-09
73,119635528.5714,2899999.7,Current,2020-03-11
74,73911745.7143,789999.09,Current,2020-03-12
75,54148588.5714,453601.01,Current,2020-08-11
76,106421101.4286,2880001.6,Current,2020-09-23
77,115354172.8571,957250.71,Current,2020-09-29
78,74157201.4286,2974115.49,Current,2020-10-28
79,142190430.0,2232904.93,Current,2020-11-16
80,117667230.0,894400.5,Current,2020-12-07
81,26363745.7143,768999.2,Current,2020-12-11
82,98441514.2857,1368600.25,Current,2020-12-14
83,54345872.8571,760241.0,Current,2020-12-16
84,37826317.1429,836499.1,Current,2020-12-21
85,86086745.7143,885500.54,Current,2021-01-07
86,134237742.8571,884001.08,Current,2021-01-12
87,11697315.7143,1023200.09,Current,2021-02-08
88,134237742.8571,511999.36,Current,2021-02-18
89,134237742.8571,512000.59,Current,2021-02-18
90,78335942.8571,950399.54,Current,2021-03-04
91,41615460.0,628002.4,Current,2021-03-04
92,22016888.5714,538399.0,Current,2021-03-10
93,103704130.0,450100.33,Current,2021-03-17
94,51268985.7143,1006401.4,Current,2021-03-19
95,44814272.8571,479919.55,Current,2021-03-23
96,43488317.1429,690398.77,Amortization Past Due,2021-03-26
97,105365460.0,1039998.9,Current,2021-03-31
98,15496271.4286,916999.15,Current,2021-05-10
99,50256888.5714,919999.45,Current,2021-05-19
100,26322745.7143,720800.09,Current,2021-05-26
101,116548460.0,507000.1,Amortization Past Due,2021-05-28
102,96857771.4286,1004000.69,Current,2021-06-23
103,5066458.5714,1139120.47,Current,2021-06-25
104,38133031.4286,858398.39,Amortization Past Due,2021-06-29
105,127485760.0,1327201.13,Principal Past Due,2021-06-30
106,63191474.2857,1231299.3,Current,2021-07-14
107,86922972.8571,630698.37,Amortization Past Due,2021-07-30
108,10541474.2857,565600.4,Current,2021-08-10
109,108409914.2857,799999.86,Current,2021-08-18
110,134343031.4286,2932799.38,Amortization Past Due,2021-08-23
111,29232874.2857,986999.5,Current,2021-08-26
112,63447331.4286,805000.92,Current,2021-08-31
113,134237742.8571,979999.98,Current,2021-09-16
114,78333045.7143,1054999.83,Current,2021-09-24
115,75349215.7143,566400.22,Current,2021-09-27
116,7784474.2857,1006398.69,Current,2021-09-28
117,46843914.2857,5100000.08,Current,2021-09-30
118,120958144.2857,1041999.75,Current,2021-09-30
119,129801058.5714,668000.81,Current,2021-10-18
120,24821760.0,586400.11,Current,2021-10-19
121,16705860.0,1022401.89,Current,2021-10-27
122,11255972.8571,3700000.59,Current,2021-10-27
123,100003445.7143,734222.18,Current,2021-11-15
124,115354172.8571,1753261.37,Current,2021-11-23
125,130497474.2857,1047998.89,Current,2021-12-10
126,16870474.2857,8923999.05,Current,2021-12-22
127,96857771.4286,385001.78,Current,2022-01-25
128,84669387.1429,1184000.55,Current,2022-02-28
129,46270331.4286,1123999.64,Current,2022-03-02
130,126960530.0,558401.28,Current,2022-03-09
131,84883228.5714,786447.95,Current,2022-03-18
132,72498902.8571,720799.12,Amortization Past Due,2022-03-24
133,131371530.0,2186879.8,Current,2022-03-28
134,40607300.0,305997.39,Current,2022-04-06
135,47519730.0,725001.63,Current,2022-04-26
136,22450160.0,583201.47,Current,2022-04-29
137,55000874.2857,3156049.49,Current,2022-05-27
138,7707045.7143,3615000.04,Current,2022-06-10
139,91894187.1429,2415999.81,Current,2022-06-27
140,133414345.7143,771401.3,Current,2022-07-28
141,15608930.0,1280000.89,Current,2022-07-29
142,9936414.2857,950000.05,Current,2022-08-03
143,23324058.5714,1600002.46,Current,2022-08-04
144,72737202.8571,846399.06,Current,2022-08-10
145,33001488.5714,579199.61,Amortization Past Due,2022-08-19
146,92860501.4286,1799186.52,Current,2022-08-24
147,117667230.0,4159200.37,Current,2022-08-31
148,115435888.5714,4906789.69,Current,2022-08-31
149,50504745.7143,1235199.95,Current,2022-09-22
150,23607772.8571,2021491.09,Current,2022-09-30
151,7695844.2857,936000.96,Current,2022-10-25
152,3687358.5714,1989749.96,Current,2022-10-26
153,86132458.5714,1500000.26,Current,2022-11-29
154,30464215.7143,1255201.11,Current,2022-12-07
155,47237301.4286,7359395.4,Current,2022-12-29
156,46496928.5714,648201.6,Current,2023-01-16
157,37154630.0,490400.44,Principal Past Due,2023-01-18
158,104923445.7143,936600.65,Current,2023-01-25
159,47917230.0,1110398.55,Current,2023-01-27
160,15153258.5714,1151998.58,Current,2023-02-06
161,76178544.2857,1664979.73,Current,2023-02-20
162,36007472.8571,1868979.43,Current,2023-02-21
163,142190430.0,1963199.63,Current,2023-03-09
164,107418345.7143,2484999.12,Current,2023-03-14
165,76052460.0,1151200.18,Current,2023-03-22
166,27453787.1429,1155197.49,Current,2023-03-24
167,44252745.7143,1460002.7,Current,2023-03-28
168,69149888.5714,657601.64,Current,2023-04-20
169,108409914.2857,499999.94,Current,2023-04-20
170,72047258.5714,1128799.77,Current,2023-04-24
171,98029744.2857,1000000.57,Current,2023-04-27
172,549217.1429,768000.43,Current,2023-04-27
173,65424788.5714,6016344.33,Current,2023-04-27
174,10429072.8571,1214849.91,Current,2023-05-05
175,887617.1429,780800.64,Current,2023-05-12
176,71366958.5714,768000.24,Current,2023-05-25
177,60873874.2857,780799.62,Current,2023-05-30
178,1442042.8571,998399.42,Current,2023-05-31
179,33692502.8571,1042401.08,Current,2023-06-20
180,8252372.8571,839200.07,Current,2023-06-21
181,52175842.8571,1110399.93,Current,2023-06-29
182,62151757.1429,3878399.21,Current,2023-06-30
183,17403400.0,1606399.53,Current,2023-07-05
184,141527758.5714,1213799.82,Current,2023-07-06
185,137057931.4286,2526399.76,Current,2023-07-07
186,23660902.8571,760000.34,Current,2023-07-17
187,78335942.8571,780800.16,Current,2023-07-18
188,45722645.7143,1509599.9,Current,2023-07-24
189,37857445.7143,1320799.74,Current,2023-07-31
190,121378360.0,1039999.82,Current,2023-08-25
191,11255972.8571,663201.04,Current,2023-08-30
192,37265230.0,341999.91,Current,2023-08-31
193,20537285.7143,609001.85,Current,2023-09-12
194,135692872.8571,600001.11,Current,2023-09-22
195,70172087.1429,795998.98,Current,2023-09-25
196,104181014.2857,1824142.96,Items for litigation,2008-10-16
197,40198144.2857,4560002.2,Current,2015-03-19
198,128658801.4286,688138.98,Items for litigation,2015-05-26
199,13527485.7143,1999997.73,Current,2015-07-28
200,58554642.8571,1999201.07,Current,2015-07-31
201,5382257.1429,3500002.11,Current,2015-09-03
202,54093672.8571,612799.73,Items for litigation,2016-03-07
203,84575158.5714,690400.32,Principal Past Due,2016-06-13
204,36982228.5714,2499999.57,Current,2016-11-29
205,5382257.1429,5000001.0,Current,2017-02-15
206,122581701.4286,2000001.09,Current,2017-06-23
207,20107700.0,4115996.67,Current,2018-05-22
208,26046787.1429,2114496.99,Items for litigation,2018-06-06
209,26046787.1429,329230.15,Items for litigation,2018-06-06
210,126066728.5714,5520524.55,Current,2018-06-06
211,20107700.0,1175998.75,Current,2018-07-18
212,20107700.0,608000.3,Current,2018-08-08
213,65627471.4286,1479199.82,Current,2018-11-12
214,82967430.0,413999.29,Current,2018-12-20
215,65627471.4286,999998.62,Current,2018-12-21
216,31243171.4286,2639998.64,Current,2019-01-31
217,52460615.7143,1531199.52,Current,2019-02-04
218,45989628.5714,3999999.35,Current,2019-08-27
219,42515187.1429,806149.87,Amortization Past Due,2019-09-30
220,121850042.8571,926399.83,Current,2019-11-21
221,68321574.2857,776000.64,Current,2019-12-16
222,65806442.8571,999998.98,Current,2019-12-17
223,23876730.0,876999.03,Current,2019-12-26
224,57140642.8571,747999.23,Current,2020-01-13
225,505571.4286,844800.32,Current,2020-06-19
226,82658215.7143,767199.49,Current,2020-07-14
227,25225445.7143,879999.14,Current,2020-07-21
228,79466317.1429,1401600.36,Current,2020-09-07
229,77377815.7143,750399.33,Current,2020-10-13
230,132216145.7143,839999.37,Current,2020-10-14
231,108329215.7143,521498.65,Amortization Past Due,2020-10-27
232,9410458.5714,1122099.43,Current,2020-11-11
233,59147128.5714,1354399.23,Current,2020-12-11
234,2374328.5714,618999.01,Current,2021-01-14
235,51918115.7143,695200.31,Current,2021-01-21
236,5806160.0,1310399.63,Current,2021-01-25
237,29403542.8571,938000.26,Current,2021-03-03
238,65627471.4286,2000001.26,Current,2021-03-17
239,130413501.4286,504001.03,Current,2021-03-17
240,39983160.0,969998.19,Current,2021-06-22
241,101162515.7143,1498500.11,Current,2021-07-29
242,42515187.1429,539999.22,Current,2021-09-10
243,126246244.2857,710399.84,Current,2021-09-24
244,40198144.2857,4444708.98,Current,2021-11-11
245,113263744.2857,834720.32,Amortization Past Due,2021-11-29
246,40198144.2857,839999.84,Current,2022-01-10
247,72260787.1429,1603999.81,Amortization Past Due,2022-01-31
248,56640130.0,738000.01,Current,2022-02-08
249,36982228.5714,6999998.53,Current,2022-02-09
250,109456442.8571,324999.85,Current,2022-02-11
251,30668215.7143,1839001.13,Current,2022-03-14
252,54482172.8571,941249.22,Current,2022-03-30
253,65734287.1429,5499999.99,Current,2022-03-31
254,40198144.2857,3292501.17,Current,2022-03-31
255,20116701.4286,1389501.96,Current,2022-04-07
256,24848314.2857,1557997.88,Current,2022-04-11
257,36982228.5714,1455999.62,Current,2022-06-30
258,88394557.1429,1006399.02,Current,2022-07-21
259,38291488.5714,681999.3,Current,2022-07-25
260,139789474.2857,877501.29,Current,2022-08-11
261,44024002.8571,524000.02,Current,2022-08-26
262,22479928.5714,1119999.92,Current,2022-10-05
263,98604571.4286,1545599.07,Current,2022-10-27
264,104416631.4286,1015201.26,Current,2022-11-08
265,65416772.8571,591199.36,Current,2022-11-14
266,17572631.4286,470399.74,Current,2022-12-13
267,82293942.8571,1262400.39,Current,2022-12-15
268,53707844.2857,1439199.62,Current,2022-12-28
269,100463045.7143,1550000.17,Current,2022-12-29
270,19601502.8571,999999.81,Current,2023-02-16
271,16667360.0,461999.78,Current,2023-03-07
272,36982228.5714,6999998.73,Current,2023-03-29
273,24195485.7143,959999.74,Current,2023-03-30
274,22100701.4286,1900002.42,Amortization Past Due,2023-05-31
275,91117788.5714,1188799.57,Current,2023-06-06
276,21763788.5714,1070399.5,Current,2023-06-23
277,122386788.5714,563200.16,Current,2023-07-05
278,15187601.4286,1044650.06,Current,2023-07-11
279,119943901.4286,1265599.02,Current,2023-07-11
280,96558928.5714,1654999.34,Current,2023-07-27
281,126819431.4286,1161999.2,Current,2023-08-07
282,12022085.7143,1823999.93,Current,2023-08-30
283,108862945.7143,2597420.14,Current,2023-08-31
284,131625814.2857,737100.34,Current,2023-09-19
285,66737872.8571,1624360.72,Current,2023-09-27
286,82380271.4286,901320.08,Current,2023-09-27
287,52690985.7143,1539999.84,Current,2023-10-20
288,80602385.7143,400000.04,Current,2023-10-24
289,65627471.4286,2499998.65,Current,2023-10-26
290,31601300.0,3000000.82,Current,2013-05-24
291,28869215.7143,1881160.26,Current,2014-06-23
292,31601300.0,1999998.94,Current,2015-03-05
293,106137442.8571,3249999.14,Current,2015-04-17
294,106137442.8571,2518282.12,Current,2015-12-10
295,106137442.8571,2596066.86,Current,2016-08-31
296,109640744.2857,999999.72,Current,2016-09-13
297,85434772.8571,560000.39,Current,2016-09-16
298,85434772.8571,189996.58,Current,2016-10-28
299,85434772.8571,249997.07,Current,2016-11-11
300,85434772.8571,400000.93,Current,2016-12-16
301,68723587.1429,1036800.88,Current,2017-05-31
302,85434772.8571,600000.15,Current,2017-07-19
303,103288444.2857,1989998.46,Current,2014-11-11
304,80884801.4286,1407999.81,Amortization Past Due,2018-06-25
