CUSTOMER_ID,BANK_TENURE,SEC,DIGITAL_INDICATOR,CUSTOMER_LOCATION,AGE,GENDER,EDUCATION,MONTHLY_INCOME,QUARTER,TRANSACTION_AMOUNT_DEBIT,TRANSACTION_AMOUNT_CC,TRANSACTION_AMOUNT_IBFT,AUTO_LOAN_INDICATOR,HOUSING_LOAN_INDICATOR,SAVINGS_ACCOUNT_INDICATOR,CUSTOMER_SEGMENT,TOTAL_BALANCE,CURRENT_MONTH_BILLING,PREVIOUS_MONTH_BILLING,REVOLVING_BALANCE,LOAN_BEHAVIOR,LOAN_AMOUNT
17582714.2857,27.25,5,1,NATIONAL CAPITAL REGION,53.92,0.0,2,128745.85,Q1 2024,41501.74,24432.2,4500.87,0,0,3,1,0.53,0.53,0.53,0.53,3,95000.6
231215.7143,9.18,5,1,REGION III (CENTRAL LUZON),36.62,1.0,2,118438.34,Q1 2024,10138.31,10589.0,10000.9,0,0,3,5,353624.11,230.21,114882.05,111081.71,3,60001.23
522874.2857,4.15,4,1,REGION IV-A (CALABARZON),33.94,0.0,2,49997.94,Q4 2023,534.17,6511.27,8000.28,0,0,3,5,78496.5,-0.86,20390.99,15366.81,3,29998.25
595987.1429,6.63,6,1,NATIONAL CAPITAL REGION,29.86,0.0,2,165346.22,Q1 2024,3.27,11111.039999999999,25343.98,0,0,3,5,143247.22,1125.11,97886.63,95817.99,3,110000.2
609942.8571,18.87,7,1,NATIONAL CAPITAL REGION,48.08,0.0,2,250000.08,Q1 2024,2839.56,133474.48,36001.05,0,3,3,1,34577.95,43067.74,41251.99,0.09,3,1541913.45
609942.8571,18.87,7,1,NATIONAL CAPITAL REGION,48.08,0.0,2,250000.08,Q4 2023,1188.5,145771.61,2200.33,0,3,3,1,34577.95,43067.74,41251.99,0.09,3,1541913.45
675685.7143,15.42,5,1,REGION IV-A (CALABARZON),42.31,1.0,2,114771.13,Q4 2023,1949.49,56838.56,9999.82,0,0,3,5,463527.49,146843.24,3868.45,-2.33,3,114999.61
1455828.5714,14.93,5,1,NATIONAL CAPITAL REGION,37.77,1.0,2,85563.76,Q4 2023,53960.65,719.55,2498.83,0,0,3,5,0.76,0.76,0.76,0.76,3,39999.53
2164030.0,11.78,7,1,NATIONAL CAPITAL REGION,43.94,0.0,2,249999.94,Q1 2024,3791.32,58764.98,92102.99,0,0,3,5,90104.73,16363.72,5166.66,0.46,3,399999.55
2164030.0,11.78,7,1,NATIONAL CAPITAL REGION,43.94,0.0,2,249999.94,Q4 2023,254.55,16755.55,78607.42,0,0,3,5,90104.73,16363.72,5166.66,0.46,3,399999.55
